Name	NFkB	CD19
plate1-1_S1_L001	88.964912	25.713207
plate1-2_S2_L001	87.38192	4.491166
plate1-3_S3_L001	85.827095	16.698864
plate1-4_S4_L001	110.411606	6.553182
plate1-5_S5_L001	79.15873	5.675022
plate1-6_S6_L001	113.439453	14.991942
plate1-7_S7_L001	48.270935	8.739734
plate1-8_S8_L001	115.506721	27.145699
plate1-9_S9_L001	109.442276	4.74137
plate1-10_S10_L001	305.149689	19.815861
plate1-11_S11_L001	441.249786	23.299187
plate1-12_S12_L001	117.619972	12.303037
plate1-13_S13_L001	111.444565	57.796646
plate1-14_S14_L001	147.288208	5.378584
plate1-15_S15_L001	100.049408	4.657826
plate1-16_S16_L001	86.642281	15.132732
plate1-17_S17_L001	100.056473	8.98194
plate1-18_S18_L001	299.794037	54.769875
plate1-19_S19_L001	843.445557	16.558683
plate1-20_S20_L001	176.353821	9.917104
plate1-21_S21_L001	137.09613	10.753664
plate1-22_S22_L001	158.321716	32.22065
plate1-23_S23_L001	146.015701	15.411222
plate1-24_S24_L001	392.737518	40.347919
plate1-25_S25_L001	101.901413	15.001993
plate1-26_S26_L001	235.221375	6.269862
plate1-27_S27_L001	77.807838	5.237793
plate1-28_S28_L001	425.912018	19.300558
plate1-29_S29_L001	159.791595	31.370592
plate1-30_S30_L001	96.564896	16.565107
plate1-31_S31_L001	127.622826	34.948483
plate1-32_S32_L001	220.914841	8.140126
plate1-33_S33_L001	93.1623	23.955015
plate1-34_S34_L001	170.205765	2.597574
plate1-35_S35_L001	43.766903	6.443392
plate1-36_S36_L001	95.720482	36.562523
plate1-37_S37_L001	47.460545	27.666721
plate1-38_S38_L001	161.286499	9.487007
plate1-39_S39_L001	217.029892	19.482494
plate1-40_S40_L001	382.497498	11.879992
plate1-41_S41_L001	186.270432	36.899368
plate1-42_S42_L001	167.21846	16.572115
plate1-43_S43_L001	89.096786	20.751501
plate1-44_S44_L001	644.54364	9.836625
plate1-45_S45_L001	151.482132	93.201714
plate1-46_S46_L001	193.128098	77.859962
plate1-47_S47_L001	110.579147	11.671072
plate1-48_S48_L001	449.845673	18.464809
plate1-49_S49_L001	165.762039	17.49535
plate1-50_S50_L001	127.708313	6.743345
plate1-51_S51_L001	146.159882	15.706456
plate1-52_S52_L001	95.774467	12.771731
plate1-53_S53_L001	276.823242	5.684635
plate1-54_S54_L001	130.044754	23.334532
plate1-55_S55_L001	127.730812	11.061031
plate1-56_S56_L001	231.272217	6.80571
plate1-57_S57_L001	124.339035	131.233597
plate1-58_S58_L001	194.955414	4.623121
plate1-59_S59_L001	1348.324219	17.980192
plate1-60_S60_L001	365.93454	59.47588
plate1-61_S61_L001	102.952629	4.341476
plate1-62_S62_L001	30.297216	4.380856
plate1-63_S63_L001	65.080261	36.269619
plate1-64_S64_L001	167.348099	7.381627
plate1-65_S65_L001	115.739037	9.326739
plate1-66_S66_L001	30.301485	8.372789
plate1-67_S67_L001	867.981445	6.627091
plate1-68_S68_L001	170.409775	13.366748
plate1-69_S69_L001	276.979279	6.687438
plate1-70_S70_L001	151.61557	20.771246
plate1-71_S71_L001	53.411419	31.135735
plate1-72_S72_L001	133.686295	8.450223
plate1-73_S73_L001	168.913635	8.681648
plate1-74_S74_L001	71.232796	7.723893
plate1-75_S75_L001	32.280872	3.199183
plate1-76_S76_L001	89.200401	14.628862
plate1-77_S77_L001	111.696182	11.372366
plate1-78_S78_L001	100.271759	15.441113
plate1-79_S79_L001	65.705261	12.669411
plate1-80_S80_L001	205.925064	8.008533
plate1-81_S81_L001	89.216103	22.734911
plate1-82_S82_L001	99.387901	11.685466
plate1-83_S83_L001	1489.807129	35.970173
plate1-84_S84_L001	272.184937	11.375168
plate1-85_S85_L001	58.466976	6.454749
plate1-86_S86_L001	145.02977	11.68711
plate1-87_S87_L001	107.786949	11.58287
plate1-88_S88_L001	246.579208	8.608455
plate1-89_S89_L001	102.131386	13.02051
plate1-90_S90_L001	92.513634	25.107271
plate1-91_S91_L001	89.247498	57.955685
plate1-92_S92_L001	257.957916	45.05431
plate1-93_S93_L001	189.99913	15.729696
plate1-94_S94_L001	76.601212	4.081296
plate1-95_S95_L001	127.487839	39.241898
plate1-96_S96_L001	166.982727	5.989066
plate2-1_S97_L001	196.335754	7.041852
plate2-2_S98_L001	93.067055	8.059276
plate2-3_S99_L001	106.513603	8.978139
