name	HIF1a	EPCAM	pFAK
plate9-10_S778_L001	230.824158	153.992645	2109.69043
plate9-11_S779_L001	230.824158	153.992645	2109.69043
plate9-12_S780_L001	3337.742432	39.597847	528.045776
plate9-13_S781_L001	8582.708984	76.355995	1263.552124
plate9-14_S782_L001	6.043604	271.418701	8.897433
plate9-15_S783_L001	2287.89624	33.986881	352.319214
plate9-16_S784_L001	9059.576172	111.417046	1778.593262
plate9-17_S785_L001	9476.641602	90.598961	1877.281738
plate9-18_S786_L001	9476.976562	71.067299	1420.531982
plate9-19_S787_L001	3249.685547	42.181557	342.987946
plate9-1_S769_L001	8819.631836	129.843185	2481.242188
plate9-20_S788_L001	6437.941406	58.841602	698.076843
plate9-21_S789_L001	9.567662	49.174881	1018.942261
plate9-22_S790_L001	7.30471	1124.871826	8.284962
plate9-23_S791_L001	2715.814941	63.253956	457.575409
plate9-24_S792_L001	5477.373535	44.537788	784.914551
plate9-25_S793_L001	1912.166992	31.359531	528.36261
plate9-26_S794_L001	2149.273926	43.349014	269.121246
plate9-27_S795_L001	4616.445312	53.309875	552.627747
plate9-28_S796_L001	5.885198	799.049377	5.938371
plate9-29_S797_L001	9564.962891	167.059341	1395.55127
plate9-2_S770_L001	7638.563965	92.266266	828.26239
plate9-30_S798_L001	3279.509521	31.922003	588.457581
plate9-31_S799_L001	777.66687	12.526358	1241.419556
plate9-32_S800_L001	4962.093262	54.781467	743.782837
plate9-33_S801_L001	6859.70166	60.480824	778.023499
plate9-34_S802_L001	7305.741211	87.455933	4220.685547
plate9-35_S803_L001	8745.902344	231.035965	3788.98877
plate9-36_S804_L001	1346.852051	75.060875	599.456116
plate9-37_S805_L001	4787.584473	85.905846	487.448761
plate9-38_S806_L001	5578.764648	35.581604	730.677124
plate9-39_S807_L001	8747.135742	101.922974	3494.848389
plate9-3_S771_L001	7923.415039	82.136726	3623.002441
plate9-40_S808_L001	8213.962891	144.759293	836.305969
plate9-41_S809_L001	7507.675781	171.743591	5629.962402
plate9-42_S810_L001	7924.25293	91.507843	948.600403
plate9-43_S811_L001	8991.445312	10.763525	9154.655273
plate9-44_S812_L001	29.474007	79.273254	1135.995728
plate9-45_S813_L001	9661.59668	131.178116	1311.78125
plate9-46_S814_L001	3342.689941	52.409325	400.148407
plate9-47_S815_L001	2621.875244	33.42572	400.134308
plate9-48_S816_L001	6988.40332	95.740723	923.574036
plate9-49_S817_L001	771.492004	54.814308	246.171432
plate9-4_S772_L001	8908.736328	60.512814	2131.681885
plate9-50_S818_L001	5784.96582	58.372337	632.941101
plate9-51_S819_L001	5146.408203	49.200893	1198.648315
plate9-52_S820_L001	5431.583496	100.127052	2056.134277
plate9-53_S821_L001	9572.048828	144.774612	1717.556885
plate9-54_S822_L001	359.258698	21.515482	519.473694
plate9-55_S823_L001	836.77771	73.777275	686.550659
plate9-56_S824_L001	188.013016	35.287868	207.566208
plate9-57_S825_L001	2718.688477	203.872879	2743.251953
plate9-58_S826_L001	38.265926	85.97551	4002.612305
plate9-59_S827_L001	152.893875	13.359688	359.321991
plate9-5_S773_L001	15.289926	255.306351	1156.942017
plate9-60_S828_L001	133.610992	85.987625	51.962013
plate9-61_S829_L001	2211.095459	1949.485352	3255.189209
plate9-62_S830_L001	6.042964	1	1
plate9-63_S831_L001	19.810268	5.424882	1.893909
plate9-64_S832_L001	10.460728	4.411252	1.000071
plate9-65_S833_L001	14.203316	3.523067	4.411408
plate9-66_S834_L001	6.979291	9.059257	2.207046
plate9-67_S835_L001	13.826161	19.635654	1.715741
plate9-68_S836_L001	5.83065	3.134626	4.959118
plate9-69_S837_L001	34.920143	2.690263	1.963704
plate9-6_S774_L001	21.293528	5.778849	4.615142
