names	HIF1a	EPCAM	pFAK
plate1-10_S10_L001	1	38.54229	609.756226
plate1-11_S11_L001	1.000035	18.106222	168.49144
plate1-12_S12_L001	1.000071	212.890198	1459.127197
plate1-13_S13_L001	1.000106	50.486	349.152161
plate1-14_S14_L001	1.000141	50.035706	710.597717
plate1-15_S15_L001	1.000176	7.916152	346.050232
plate1-16_S16_L001	1.000212	135.801468	1640.346924
plate1-17_S17_L001	1.000247	34.297585	2458.851562
plate1-18_S18_L001	1.000282	171.592224	791.698975
plate1-19_S19_L001	1.000318	214.86673	1747.130859
plate1-2_S2_L001	1.000353	15.130063	305.160461
plate1-20_S20_L001	1.000776	83.60112	717.47345
plate1-21_S21_L001	1.000741	201.840942	3720.782227
plate1-22_S22_L001	1.000706	39.982407	433.536011
plate1-23_S23_L001	1.000671	55.26862	1085.044067
plate1-24_S24_L001	1.000635	99.167542	1540.904785
plate1-25_S25_L001	1.0006	192.937546	2764.819336
plate1-26_S26_L001	1.000565	85.100609	2526.905029
plate1-27_S27_L001	1.000529	23.303297	271.53363
plate1-28_S28_L001	1.000494	89.813072	572.831665
plate1-29_S29_L001	1.000459	115.531181	2168.386475
plate1-3_S3_L001	1.000424	108.477615	2415.440674
plate1-30_S30_L001	1.000388	34.302425	100.038826
plate1-31_S31_L001	1.000812	226.893036	1828.39978
plate1-32_S32_L001	1.000847	48.737999	649.931702
plate1-33_S33_L001	1.000882	73.057411	4787.078125
plate1-34_S34_L001	1.000918	47.872471	948.332886
plate1-35_S35_L001	1.000953	44.952869	627.030457
plate1-36_S36_L001	1.000988	57.311459	1861.916504
plate1-37_S37_L001	1.001024	44.956039	1231.084961
plate1-38_S38_L001	1.001059	103.773048	1371.444824
plate1-39_S39_L001	1.001094	250.560379	1656.627686
plate1-4_S4_L001	1.001129	28.41942	58.887276
plate1-40_S40_L001	1.001165	110.528496	1913.178589
plate1-41_S41_L001	1.0012	91.507843	974.54541
plate1-42_S42_L001	1.001624	65.043587	1687.59021
plate1-43_S43_L001	1.001588	181.343384	1335.639404
plate1-44_S44_L001	1.001553	100.155289	1115.703735
plate1-45_S45_L001	1.001518	41.10928	814.356995
plate1-46_S46_L001	1.001482	61.06601	923.606628
plate1-47_S47_L001	1.001447	75.776443	1076.16272
plate1-48_S48_L001	1.001412	806.979797	496.506775
plate1-49_S49_L001	1.001376	82.159889	1156.37146
plate1-5_S5_L001	1.001341	93.182007	2742.092285
plate1-50_S50_L001	1.001306	113.567551	828.963684
plate1-51_S51_L001	1.001271	171.761749	1748.795166
plate1-52_S52_L001	1.001235	73.083168	705.00531
plate1-53_S53_L001	1.001659	75.792465	2484.568848
plate1-54_S54_L001	1.001694	123.190964	1265.603271
plate1-55_S55_L001	1.001729	58.394966	389.577759
plate1-56_S56_L001	1.001765	93.22142	1188.459717
plate1-57_S57_L001	1.0018	63.895241	1254.403442
plate1-58_S58_L001	1.001835	25.993145	1029.236206
plate1-59_S59_L001	1.001871	3593.34668	2191.06543
plate1-6_S6_L001	1.001906	164.312531	1501.786377
plate1-60_S60_L001	1.001941	124.334656	1967.029785
plate1-61_S61_L001	1.001976	233.36998	2354.784912
plate1-62_S62_L001	1.002012	188.06601	1614.001831
plate1-63_S63_L001	1.002047	132.428619	1949.622803
plate1-64_S64_L001	1.915674	193.298218	9.845984
plate1-65_S65_L001	1.002435	56.88039	2212.10791
plate1-66_S66_L001	1.0024	19.679306	353.114899
plate1-67_S67_L001	1.002365	33.45517	524.53656
plate1-68_S68_L001	1.002329	75.843208	1116.568726
plate1-69_S69_L001	1.002294	15.296389	454.197937
plate1-7_S7_L001	1.002259	17.983992	1847.586792
plate1-70_S70_L001	1.002223	45.00993	1449.175049
plate1-71_S71_L001	1.002188	31.408199	822.264954
plate1-72_S72_L001	1.002153	118.892029	1719.130981
plate1-73_S73_L001	1.002118	152.936951	984.251709
plate1-74_S74_L001	1.002082	56.351227	644.907043
plate1-75_S75_L001	1.002506	103.92305	2192.454834
plate1-76_S76_L001	1.002541	89.190979	2022.039795
plate1-77_S77_L001	1.002576	221.241943	725.257935
plate1-78_S78_L001	1.002612	4.422461	196.834625
plate1-79_S79_L001	1.002647	38.298283	1449.787354
plate1-8_S8_L001	1.002682	118.954834	1831.817017
plate1-80_S80_L001	1.002718	229.378983	1168.381958
plate1-81_S81_L001	1.002753	103.017891	3864.838867
plate1-82_S82_L001	1.002788	63.385578	343.847168
plate1-83_S83_L001	1.002823	62.257721	725.436646
plate1-84_S84_L001	1.002859	92.487595	793.738159
plate1-85_S85_L001	1.002894	33.775269	606.045227
plate1-86_S86_L001	1.003318	46.709709	3471.369873
plate1-87_S87_L001	1.003282	47.130074	1337.898438
plate1-88_S88_L001	1.003247	124.496704	1490.331421
plate1-89_S89_L001	1.003212	71.921928	2023.392212
plate1-9_S9_L001	1.003176	204.160187	916.884827
plate1-90_S90_L001	1.003141	83.048309	933.495056
plate1-91_S91_L001	1.003106	120.080292	2746.924561
plate1-92_S92_L001	1.00307	4154.501953	1751.938965
plate1-93_S93_L001	1.003035	26.259409	1799.792358
plate1-94_S94_L001	1.003	58.469032	1934.003052
plate1-95_S95_L001	1.002965	92.49736	1586.734863
plate1-96_S96_L001	1.002929	41.539173	1601.014648
plate2-1_S97_L001	1	163.999969	1700.077637
plate2-10_S106_L001	1	163.999969	1700.077637
plate2-11_S107_L001	1.000035	85.05558	889.680481
plate2-12_S108_L001	1.000071	71.054756	1928.354614
plate2-13_S109_L001	6494.503906	79.871109	1104.116089
plate2-14_S110_L001	1.000141	35.871437	433.291382
plate2-15_S111_L001	1.000176	49.589432	2350.554932
plate2-16_S112_L001	1.000212	69.797836	1036.852417
plate2-17_S113_L001	1.000247	124.124428	1981.446167
plate2-18_S114_L001	1.000282	143.341721	2970.15332
plate2-19_S115_L001	1.000318	86.62394	750.132446
plate2-2_S98_L001	1.000353	58.314728	3492.384033
plate2-20_S116_L001	1.000776	61.022968	1124.911499
plate2-21_S117_L001	1.000741	27.404493	1124.871826
plate2-22_S118_L001	1.000706	518.979492	2573.135742
plate2-23_S119_L001	1.895112	50.062191	75.039703
plate2-24_S120_L001	1.000635	16.558683	562.698547
plate2-25_S121_L001	1.0006	224.813812	2764.819336
plate2-26_S122_L001	1.000565	189.49115	1597.23999
plate2-27_S123_L001	1.000529	191.196457	1844.398926
plate2-28_S124_L001	1.000494	14.081601	1241.550903
plate2-29_S125_L001	1.000459	61.003601	4218.899414
plate2-3_S99_L001	1.000424	77.073067	2437.264404
plate2-30_S126_L001	1.000388	81.343872	4333.984375
